id_oblig,id_cli,cod_prod,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
OBL000043,CLI001144,PR007,23250941.8,22044418.34,198726.0,2023-03-16,2028-12-23,98,77,Bajo
OBL000044,CLI007643,PR004,11201813.32,9455769.5,373393.78,2025-07-02,2035-03-04,126,52,Bajo
OBL000045,CLI003739,PR007,19748504.86,4725950.18,313468.33,2023-03-10,2028-03-14,17,100,Bajo
OBL000046,CLI001471,PR020,43197276.02,12264598.54,407521.47,2020-01-22,2030-01-03,22,15,Alto
OBL000047,CLI007148,PR048,31251828.48,5759603.52,286714.02,2019-06-14,2033-11-14,173,104,Alto
OBL000048,CLI006009,PR009,38408615.9,15560760.62,629649.44,2025-01-23,2029-08-19,116,105,Bajo
OBL000049,CLI005128,PR039,4074279.26,3404147.46,41574.28,2025-07-23,2033-08-23,121,109,Alto
OBL000050,CLI005099,PR009,24553747.32,23874175.58,701535.64,2020-12-02,2033-03-21,146,105,Alto
OBL000051,CLI004964,PR050,4746287.11,4503879.95,53329.07,2024-01-12,2027-09-20,140,90,Bajo
OBL000052,CLI008174,PR008,16926595.32,11995265.08,142240.3,2022-10-16,2029-12-19,51,68,Bajo
OBL000053,CLI004414,PR039,18785566.48,8986486.81,469639.16,2023-06-21,2035-12-20,36,54,Bajo
OBL000054,CLI008404,PR014,21278250.21,21165891.68,272798.08,2025-08-03,2036-05-28,94,36,Bajo
OBL000055,CLI000393,PR013,14285894.23,715623.49,285717.88,2024-08-18,2029-01-03,85,67,Medio
OBL000056,CLI000329,PR030,38226836.33,32932189.86,374772.91,2019-11-01,2027-09-25,141,87,Medio
OBL000057,CLI003416,PR044,26114342.61,16591880.96,373062.04,2021-10-05,2033-10-11,144,88,Alto
OBL000058,CLI002885,PR041,3314270.02,609629.48,27851.01,2021-08-23,2031-09-13,167,102,Medio
OBL000059,CLI009437,PR009,37513256.96,28167256.34,2500883.8,2021-06-07,2033-12-08,114,43,Medio
OBL000060,CLI002877,PR042,38105703.7,10938139.64,366401.0,2020-01-07,2034-05-03,35,47,Medio
OBL000061,CLI008964,PR001,11187870.04,5133013.68,151187.43,2023-02-08,2036-07-04,29,95,Alto
OBL000062,CLI006694,PR049,39068681.01,11461667.86,1055910.3,2023-11-08,2028-10-05,172,108,Medio
OBL000063,CLI004761,PR028,42025042.83,34531381.12,447074.92,2021-01-20,2027-02-17,90,60,Medio
OBL000064,CLI000945,PR004,20903113.72,9756764.06,215496.02,2026-05-04,2028-08-09,61,82,Medio
OBL000065,CLI007799,PR007,37553594.99,33831202.74,441807.0,2022-02-20,2032-04-15,140,76,Bajo
OBL000066,CLI008354,PR013,49510716.61,10833465.85,526709.75,2018-08-14,2031-02-15,2,5,Alto
OBL000067,CLI000938,PR023,44781650.18,25637064.43,439035.79,2022-08-03,2027-01-04,46,66,Alto
OBL000068,CLI007781,PR009,45350405.11,40272324.28,925518.47,2023-01-25,2029-04-29,113,107,Bajo
OBL000069,CLI002026,PR035,47986886.12,32670089.71,578155.25,2025-04-14,2035-06-02,129,96,Alto
OBL000070,CLI002454,PR028,5355554.8,3578924.84,95634.91,2025-11-27,2026-10-19,20,67,Alto
OBL000071,CLI001949,PR036,48701411.71,24161644.38,2213700.53,2023-03-13,2032-10-05,36,120,Medio
OBL000072,CLI007678,PR025,16908747.84,14284113.54,1300672.91,2023-07-29,2036-06-13,69,88,Bajo
OBL000073,CLI001893,PR021,45497746.96,6126105.49,450472.74,2024-02-13,2036-02-13,150,22,Bajo
OBL000074,CLI007829,PR035,26455347.03,3308807.34,881844.9,2026-03-15,2031-03-13,30,49,Bajo
OBL000075,CLI000506,PR017,33614517.84,32243135.3,819866.29,2024-01-30,2033-08-01,165,104,Medio
OBL000076,CLI001487,PR045,14455287.3,11534951.7,187731.0,2021-05-16,2029-09-09,159,11,Medio
OBL000077,CLI001174,PR046,32356312.95,1714751.2,283827.31,2023-06-11,2027-05-29,125,71,Medio
OBL000078,CLI006054,PR018,27201095.28,5737710.53,254215.84,2020-10-06,2033-01-14,156,91,Medio
OBL000079,CLI007874,PR019,7022630.81,211422.9,260097.44,2025-02-16,2036-01-28,172,34,Medio
OBL000080,CLI005477,PR033,27165306.33,24820600.91,388075.8,2020-11-23,2036-07-23,169,117,Bajo
OBL000081,CLI003026,PR008,3035912.72,1320472.13,48966.33,2020-02-05,2026-11-26,61,74,Medio
OBL000082,CLI003830,PR019,29121526.66,4370771.15,242679.39,2025-06-25,2030-12-09,178,53,Bajo
OBL000083,CLI003687,PR025,11523417.24,1615996.11,122589.55,2023-02-08,2032-04-24,145,88,Medio
OBL000084,CLI000965,PR008,17455708.23,6395727.24,646507.71,2022-07-31,2030-01-03,70,27,Medio
OBL000085,CLI000099,PR028,26271276.47,37041.13,298537.23,2022-11-01,2028-12-07,167,12,Medio
OBL000086,CLI005544,PR022,24184184.36,12951440.4,201534.87,2026-05-02,2028-10-09,45,32,Alto
OBL000087,CLI001303,PR044,34382260.59,26732512.63,399793.73,2026-03-13,2036-05-30,177,90,Bajo
OBL000088,CLI006055,PR031,4737110.56,3742555.27,49864.32,2024-07-12,2029-05-04,44,86,Medio
OBL000089,CLI007688,PR044,27926725.96,21564177.49,558534.52,2024-12-05,2031-10-11,54,72,Bajo
OBL000090,CLI007395,PR020,30845094.41,5429093.92,752319.38,2025-06-25,2036-06-08,162,50,Medio
OBL000091,CLI006279,PR030,23356390.08,22652023.01,245856.74,2024-05-01,2032-03-28,148,30,Bajo
OBL000092,CLI003956,PR020,35447933.26,14976233.46,864583.74,2019-02-24,2036-03-24,153,100,Alto
OBL000093,CLI004916,PR042,40850490.74,25785229.06,392793.18,2021-08-29,2030-02-25,13,119,Alto
OBL000094,CLI000973,PR038,48062616.41,5715341.7,717352.48,2022-04-01,2027-12-02,113,97,Alto
OBL000095,CLI008467,PR050,49653448.18,31731865.75,730197.77,2024-08-19,2036-06-19,90,1,Medio
OBL000096,CLI005627,PR048,4814701.32,2579885.75,40459.67,2026-02-08,2036-03-04,40,34,Alto
OBL000097,CLI004476,PR032,29985168.63,574274.6,832921.35,2022-04-24,2034-03-20,8,40,Alto
OBL000098,CLI007188,PR039,42913545.0,25083549.89,932903.15,2022-02-12,2029-07-12,96,20,Alto
OBL000099,CLI007512,PR012,47459452.28,29550341.07,504887.79,2024-01-15,2032-10-02,79,57,Medio
OBL000100,CLI005140,PR008,24196083.21,9108987.11,410103.11,2022-04-14,2030-10-04,122,43,Medio
OBL000101,CLI003600,PR048,1142167.09,842153.74,34611.12,2025-06-19,2036-03-14,128,44,Alto
OBL000102,CLI003157,PR036,26234389.01,14340569.79,596236.11,2022-05-03,2028-09-30,50,115,Alto
OBL000103,CLI000474,PR046,13355397.67,1221464.11,142078.7,2019-09-19,2030-06-04,121,69,Alto
OBL000104,CLI007544,PR019,18423802.0,5038835.5,259490.17,2023-04-29,2036-06-13,125,10,Alto
OBL000105,CLI008639,PR040,29698177.66,25362348.79,1349917.17,2020-02-14,2036-05-28,131,72,Medio
OBL000106,CLI006252,PR047,5551055.95,5276764.7,56071.27,2022-04-04,2035-05-23,76,27,Bajo
OBL000107,CLI006519,PR020,1994847.15,1630117.83,46391.79,2020-11-17,2036-01-30,149,33,Alto
OBL000108,CLI003777,PR033,15235587.16,1606654.56,238056.05,2021-03-25,2036-05-03,30,55,Bajo
OBL000109,CLI003562,PR008,48636795.98,33496288.7,1105381.73,2019-03-07,2035-11-22,127,0,Alto
OBL000110,CLI009015,PR012,4334007.26,1499325.23,81773.72,2026-02-01,2031-05-16,122,8,Bajo
OBL000111,CLI003510,PR027,25396428.68,15020998.19,497969.19,2025-11-11,2032-10-06,97,98,Alto
OBL000112,CLI005698,PR029,2619979.96,542428.02,26734.49,2022-11-08,2032-01-13,86,107,Bajo
OBL000113,CLI008108,PR020,39667297.81,15069323.8,592049.22,2025-12-22,2028-07-30,167,43,Bajo
OBL000114,CLI001489,PR023,7775641.21,4563161.27,185134.31,2018-12-27,2028-08-21,110,87,Medio
OBL000115,CLI006787,PR031,1308749.87,69310.97,62321.42,2019-08-13,2029-01-25,130,61,Medio
OBL000116,CLI004380,PR026,6182603.08,1980611.96,84693.19,2025-01-19,2033-09-13,25,58,Bajo
OBL000117,CLI000855,PR044,39027924.81,12029091.74,402349.74,2025-07-19,2031-01-15,89,14,Medio
OBL000118,CLI001707,PR028,24569132.93,2522779.4,250705.44,2022-10-15,2035-03-17,159,29,Alto
OBL000119,CLI000120,PR002,13100798.94,6927952.19,128439.21,2023-09-21,2035-02-09,145,29,Medio
OBL000120,CLI008174,PR041,15294336.81,3069329.46,142937.73,2024-11-10,2032-07-25,151,22,Medio
OBL000121,CLI000351,PR022,16808504.92,4989850.2,236739.51,2021-08-18,2029-09-13,159,55,Bajo
OBL000122,CLI002541,PR011,47939444.15,18582465.37,494221.07,2019-02-17,2032-02-11,157,34,Medio
OBL000123,CLI008959,PR007,29480348.02,22968614.39,382861.66,2018-12-21,2034-10-20,135,39,Medio
OBL000124,CLI002374,PR015,40711564.97,28938332.04,542820.87,2024-09-28,2032-08-11,168,15,Bajo
OBL000125,CLI007508,PR012,18856733.64,12766801.5,188567.34,2025-02-19,2034-05-22,146,55,Alto
OBL000126,CLI003787,PR045,16572317.23,9555651.36,301314.86,2019-07-01,2026-12-13,4,109,Alto
OBL000127,CLI003382,PR027,23077498.36,9691699.41,344440.27,2022-04-05,2035-11-28,156,55,Alto
OBL000128,CLI002704,PR028,48680773.51,11064697.54,481987.86,2022-06-04,2029-07-06,178,106,Medio
OBL000129,CLI004275,PR034,35529296.33,1027105.49,428063.81,2022-03-12,2032-10-22,147,35,Medio
OBL000130,CLI004293,PR024,4009682.95,1060474.73,52073.8,2018-11-18,2027-06-19,24,82,Bajo
OBL000131,CLI009092,PR045,48217788.4,2352289.7,422963.06,2024-07-24,2033-02-13,175,112,Bajo
OBL000132,CLI009969,PR036,38706815.71,15288997.2,1382386.28,2019-01-13,2029-11-29,72,50,Medio
OBL000133,CLI006425,PR009,42758375.07,41961839.88,385210.59,2025-03-21,2031-05-14,33,35,Alto
OBL000134,CLI009545,PR008,45595256.22,30825898.47,465257.72,2020-01-30,2028-06-19,80,71,Medio
OBL000135,CLI008510,PR027,13661093.88,3455925.73,164591.49,2026-06-20,2030-12-16,1,22,Medio
OBL000136,CLI005598,PR011,29270218.96,20914359.54,562888.83,2021-03-11,2034-03-20,178,40,Medio
OBL000137,CLI005679,PR047,41681533.98,23249675.4,604080.2,2023-05-02,2031-11-02,154,4,Bajo
OBL000138,CLI000742,PR031,33804688.4,12490389.4,427907.45,2020-12-13,2028-08-22,43,21,Medio
OBL000139,CLI007670,PR048,43607129.27,29239959.46,622958.99,2021-05-28,2029-04-18,37,59,Medio
OBL000140,CLI009228,PR028,47034441.11,13546938.31,516861.99,2023-03-12,2032-02-23,40,0,Medio
OBL000141,CLI002927,PR006,22521588.92,4558027.22,206620.08,2023-04-10,2033-11-01,108,7,Bajo
OBL000142,CLI008557,PR027,14662883.26,8845546.45,122190.69,2020-10-21,2029-11-25,15,39,Medio
OBL000143,CLI002354,PR045,45145963.35,39973721.2,392573.59,2018-12-09,2036-04-06,131,20,Bajo
OBL000144,CLI007303,PR041,1637377.62,894322.19,16373.78,2019-07-30,2034-02-09,94,104,Alto
OBL000145,CLI009330,PR010,20513351.76,17809863.7,262991.69,2022-03-11,2027-12-02,149,45,Bajo
OBL000146,CLI009550,PR030,47216181.41,17866876.01,491835.22,2021-12-03,2034-09-03,63,102,Bajo
OBL000147,CLI008258,PR028,33319372.58,12530931.41,2221291.51,2022-06-11,2035-05-06,100,9,Bajo
OBL000148,CLI008702,PR035,1177572.74,1176018.87,14360.64,2021-03-11,2033-03-20,16,84,Bajo
OBL000149,CLI003446,PR048,28073366.94,19378965.0,379369.82,2021-06-28,2028-11-02,47,108,Bajo
OBL000150,CLI007775,PR024,44171534.34,9002169.55,424726.29,2024-05-23,2034-05-03,39,42,Alto
OBL000151,CLI001897,PR034,3451007.18,3017675.86,172550.36,2021-02-18,2029-12-03,46,112,Bajo
OBL000152,CLI006766,PR050,31558205.25,16996238.73,1051940.18,2019-12-02,2032-07-08,142,113,Bajo
OBL000153,CLI001994,PR023,23020016.15,20251074.9,469796.25,2023-09-19,2035-11-28,0,42,Bajo
OBL000154,CLI000654,PR044,22336735.79,11949950.32,1015306.17,2020-08-23,2033-04-05,176,24,Bajo
OBL000155,CLI002132,PR023,40339061.58,845173.31,448211.8,2025-07-07,2029-11-24,19,54,Medio
OBL000156,CLI007549,PR039,12473718.27,10812034.76,186174.9,2025-01-22,2031-12-22,143,32,Alto
OBL000157,CLI004241,PR003,1502640.94,510099.87,115587.76,2022-01-25,2034-06-01,16,7,Bajo
OBL000158,CLI007606,PR007,24164194.58,17880.04,217695.45,2023-11-25,2029-02-05,156,79,Alto
OBL000159,CLI000724,PR040,38761811.5,24214973.37,337059.23,2023-06-21,2028-09-20,61,117,Alto
OBL000160,CLI004742,PR007,2744795.29,191917.28,39779.64,2026-02-09,2027-07-24,167,41,Medio
OBL000161,CLI000533,PR006,5877703.67,3883745.58,66792.09,2021-08-08,2030-11-08,0,90,Alto
OBL000162,CLI006862,PR041,43413141.56,31752408.77,361776.18,2023-05-28,2027-08-04,8,36,Bajo
OBL000163,CLI001991,PR041,17201819.23,4513327.33,307175.34,2019-01-19,2033-05-16,139,54,Alto
OBL000164,CLI007078,PR035,23060049.48,1220495.69,303421.7,2026-02-21,2035-04-29,69,58,Alto
OBL000165,CLI005697,PR007,46338522.59,26371859.15,492963.01,2019-08-20,2028-07-21,111,115,Bajo
OBL000166,CLI008442,PR025,33405892.83,5232294.89,618627.65,2020-02-04,2033-09-29,23,70,Alto
OBL000167,CLI000208,PR035,23785843.9,7466577.34,224394.75,2024-09-15,2031-02-16,146,38,Alto
OBL000168,CLI002246,PR047,42463957.08,32734718.53,1248939.91,2023-12-18,2027-08-02,90,14,Alto
OBL000169,CLI004437,PR025,23744173.92,14364735.96,230525.96,2022-03-27,2034-03-09,40,44,Bajo
OBL000170,CLI002158,PR026,9809220.52,1747753.11,306538.14,2021-09-28,2032-10-31,16,4,Medio
OBL000171,CLI002504,PR015,11434881.16,6530999.56,175921.25,2021-06-07,2035-06-22,31,4,Alto
OBL000172,CLI002097,PR049,47945869.1,31352835.79,2820345.24,2021-04-03,2027-06-12,67,101,Alto
OBL000173,CLI002065,PR019,47007797.71,36090371.61,500082.95,2020-03-13,2027-12-18,108,109,Medio
OBL000174,CLI009378,PR003,7753562.88,1978092.7,78318.82,2019-12-24,2036-04-15,171,14,Bajo
OBL000175,CLI008549,PR039,28072927.54,8828352.84,1276042.16,2020-09-19,2031-04-03,87,47,Alto
OBL000176,CLI001062,PR033,27282328.36,25021145.23,341029.1,2020-02-03,2028-11-01,96,116,Medio
OBL000177,CLI001736,PR014,22641492.15,9878109.56,435413.31,2018-11-15,2031-03-29,84,10,Bajo
OBL000178,CLI006630,PR031,25849202.0,5355463.11,1292460.1,2018-10-20,2032-07-13,93,103,Alto
OBL000179,CLI008773,PR007,35852851.65,32994062.84,402841.03,2018-12-28,2034-04-12,176,77,Medio
OBL000180,CLI006313,PR047,38701400.51,7366389.38,450016.28,2026-01-23,2032-08-09,38,39,Alto
OBL000181,CLI002525,PR041,32501725.8,24473290.52,691526.08,2020-01-10,2031-07-29,1,49,Alto
OBL000182,CLI001867,PR003,43499403.37,8086293.7,388387.53,2020-11-07,2026-09-05,136,10,Medio
OBL000183,CLI003861,PR043,34275067.17,300255.63,336030.07,2024-04-21,2029-01-06,124,92,Alto
OBL000184,CLI000212,PR039,42649160.42,11710344.69,367665.18,2019-06-19,2034-03-23,175,34,Alto
OBL000185,CLI002408,PR010,49931907.64,27378496.95,430447.48,2026-01-29,2027-07-29,115,28,Bajo
OBL000186,CLI002681,PR012,30719288.78,3832055.11,830251.05,2021-02-11,2030-07-24,36,109,Bajo
OBL000187,CLI007476,PR005,39796829.79,25300631.88,523642.5,2019-11-30,2035-05-21,111,104,Alto
OBL000188,CLI007540,PR007,1197359.95,302738.33,44346.66,2019-12-15,2033-07-19,133,106,Alto
OBL000189,CLI004241,PR022,26642736.76,22998593.08,522406.6,2024-06-01,2028-11-04,85,102,Medio
OBL000190,CLI000562,PR035,20958356.01,7915689.46,349305.93,2022-03-03,2031-03-18,47,10,Alto
OBL000191,CLI008439,PR025,5790966.84,318829.94,57909.67,2022-11-23,2030-06-24,122,102,Medio
OBL000192,CLI001812,PR047,3666391.11,19554.87,118270.68,2025-02-12,2032-03-08,12,61,Medio
OBL000193,CLI008198,PR029,33141460.2,1395887.56,920596.12,2025-03-11,2029-02-28,1,88,Bajo
OBL000194,CLI000801,PR026,49889709.27,26961793.52,509078.67,2023-11-26,2034-11-24,67,30,Bajo
OBL000195,CLI007733,PR009,39869068.7,7021548.54,2491816.79,2019-03-12,2036-06-25,72,77,Medio
OBL000196,CLI008701,PR047,31235214.08,19322932.1,1301467.25,2025-07-06,2028-03-11,49,105,Bajo
OBL000197,CLI004720,PR009,43994667.76,39813468.21,611037.05,2021-05-31,2028-11-01,65,32,Alto
OBL000198,CLI005673,PR013,7143141.02,5631956.79,64352.62,2024-04-25,2035-05-03,71,104,Bajo
OBL000199,CLI000096,PR018,47135835.2,30412907.04,453229.18,2022-05-08,2036-02-15,4,69,Bajo
OBL000200,CLI009786,PR021,45815445.71,30856593.58,539005.24,2025-06-12,2028-11-23,21,110,Medio
OBL000201,CLI001860,PR004,47313690.58,40803144.51,639374.2,2023-07-10,2032-09-14,71,110,Medio
OBL000202,CLI003756,PR038,49196342.55,13299811.62,723475.63,2023-11-01,2032-07-31,91,32,Bajo
OBL000203,CLI006582,PR035,12015832.88,591779.69,127828.01,2025-11-14,2026-12-14,109,17,Medio
OBL000204,CLI003157,PR041,18407966.53,2738309.17,209181.44,2025-03-29,2031-11-12,162,38,Bajo
OBL000205,CLI008980,PR049,41965417.16,10776467.69,399670.64,2026-02-19,2030-03-11,119,59,Medio
OBL000206,CLI004076,PR050,27266699.44,24990677.09,1947621.39,2019-09-10,2033-12-13,166,101,Medio
OBL000207,CLI007758,PR001,20038582.96,3782520.19,1669881.91,2024-11-16,2027-09-04,94,32,Medio
OBL000208,CLI007950,PR040,1273458.14,1252314.02,70747.67,2026-04-12,2033-10-16,52,77,Medio
OBL000209,CLI008125,PR015,14145775.03,4844141.73,138684.07,2023-03-16,2035-01-07,58,11,Alto
OBL000210,CLI006212,PR049,10038447.98,4238307.45,112791.55,2021-05-30,2033-08-31,86,60,Medio
OBL000211,CLI002894,PR004,34969379.42,32733450.06,624453.2,2024-08-11,2034-06-13,137,92,Bajo
OBL000212,CLI005875,PR012,11591990.74,2509578.31,106348.54,2020-09-25,2029-01-08,88,18,Bajo
OBL000213,CLI005423,PR004,15693963.13,911138.86,189083.89,2021-09-25,2031-10-08,167,77,Alto
OBL000214,CLI005916,PR041,31692119.38,19431939.94,621414.11,2022-06-10,2028-03-30,84,78,Medio
OBL000215,CLI002208,PR048,15516457.61,1359899.4,500530.89,2019-09-28,2035-09-09,87,106,Alto
OBL000216,CLI004444,PR032,28596433.76,9094901.69,376268.87,2022-11-27,2027-09-17,11,99,Bajo
OBL000217,CLI000059,PR027,35103991.39,3447985.53,675076.76,2019-12-16,2031-10-22,79,32,Alto
OBL000218,CLI009799,PR008,25687323.26,9380520.66,987973.97,2025-02-16,2031-01-31,167,89,Alto
OBL000219,CLI007545,PR032,48021226.6,23850581.81,827952.18,2024-02-26,2033-08-11,138,9,Alto
OBL000220,CLI008848,PR005,2758536.53,1541344.32,30313.59,2024-03-14,2029-10-06,124,39,Bajo
OBL000221,CLI001728,PR013,49009567.17,43860278.74,816826.12,2026-07-01,2032-11-14,18,73,Alto
OBL000222,CLI004083,PR002,17827691.95,15730952.96,174781.29,2025-08-23,2032-07-04,85,115,Medio
OBL000223,CLI002148,PR039,44848762.0,34993562.41,934349.21,2022-11-17,2029-01-17,34,93,Alto
OBL000224,CLI000104,PR025,39481638.74,432966.45,1716592.99,2022-09-03,2033-09-27,71,43,Alto
OBL000225,CLI003962,PR025,39173928.53,24006898.88,366111.48,2019-06-27,2035-05-10,142,86,Bajo
OBL000226,CLI004577,PR021,42619219.45,16587389.59,819600.37,2022-06-29,2034-03-06,7,120,Alto
OBL000227,CLI005822,PR027,37962866.71,31541823.91,843619.26,2020-05-17,2028-10-10,109,63,Alto
OBL000228,CLI008443,PR028,35361341.95,18327897.49,884033.55,2023-12-27,2029-03-20,47,117,Alto
OBL000229,CLI001937,PR018,37721205.78,6960738.59,598749.3,2022-08-26,2031-09-22,10,46,Medio
OBL000230,CLI001249,PR043,10154813.84,2550342.55,106892.78,2022-02-23,2032-12-31,26,6,Alto
OBL000231,CLI007342,PR018,18731277.41,14066947.89,535179.35,2026-02-20,2028-09-20,60,68,Alto
OBL000232,CLI008240,PR047,46318392.13,43056898.76,3859866.01,2022-04-18,2029-04-04,147,7,Medio
OBL000233,CLI004364,PR021,21972104.18,11589431.76,878884.17,2020-08-28,2035-11-23,31,62,Bajo
OBL000234,CLI002124,PR017,5106959.19,573679.06,364782.8,2023-08-22,2032-11-03,71,92,Medio
OBL000235,CLI007540,PR050,47813064.48,7251020.26,459741.0,2024-07-26,2033-05-10,48,40,Bajo
OBL000236,CLI007874,PR025,40712172.35,19217176.9,462638.32,2024-11-15,2035-03-29,26,6,Alto
OBL000237,CLI002788,PR028,30595445.91,11210146.51,261499.54,2023-10-05,2034-01-02,103,7,Medio
OBL000238,CLI008646,PR007,27306840.96,4142199.77,239533.69,2021-01-13,2028-01-04,73,75,Medio
OBL000239,CLI005411,PR050,32700029.29,8667214.43,681250.61,2024-05-24,2031-09-17,117,93,Alto
OBL000240,CLI004514,PR047,9977992.48,7291658.66,89089.22,2019-07-07,2036-03-15,33,117,Medio
OBL000241,CLI009052,PR043,27414427.13,11059329.66,246976.82,2020-05-22,2035-04-25,58,6,Alto
OBL000242,CLI008226,PR039,5526159.85,4307016.41,345384.99,2024-01-12,2033-10-29,35,77,Bajo
OBL000243,CLI001296,PR045,37673547.76,30390968.94,352089.23,2026-06-20,2029-08-06,107,76,Bajo
OBL000244,CLI007910,PR037,11609368.96,964178.35,145117.11,2023-04-25,2035-08-26,11,18,Alto
OBL000245,CLI007984,PR015,22890479.91,9227274.28,1090022.85,2020-11-19,2029-09-20,161,99,Medio
OBL000246,CLI004282,PR031,18399132.29,10456348.96,266654.09,2021-12-10,2035-03-10,159,115,Alto
OBL000247,CLI008367,PR011,40436712.55,22940741.82,1684863.02,2021-03-22,2033-11-13,1,101,Bajo
OBL000248,CLI006096,PR036,33820347.57,26293154.05,593339.43,2023-02-22,2033-01-04,15,20,Alto
OBL000249,CLI004107,PR042,13049548.04,7311388.8,334603.8,2019-01-10,2028-06-18,119,14,Medio
OBL000250,CLI005910,PR029,13134018.96,5782972.57,154517.87,2019-12-28,2035-02-17,57,56,Bajo
